country,cntryiso,raw_housing_dwellingswithoutbasicfacilities,raw_housing_housingexpenditure,raw_housing_roomsperperson,raw_income_householdnetadjusteddisposableincome,raw_income_householdnetfinancialwealth,raw_jobs_employmentrate,raw_jobs_jobsecurity,raw_jobs_longtermunemploymentrate,raw_jobs_personalearnings,raw_community_qualityofsupportnetwork,raw_education_educationalattainment,raw_education_studentskills,raw_education_yearsineducation,raw_environment_airpollution,raw_environment_waterquality,raw_civicengagement_consultationonrulemaking,raw_civicengagement_voterturnout,raw_health_lifeexpectancy,raw_health_selfreportedhealth,raw_lifesatisfaction_lifesatisfaction,raw_safety_assaultrate,raw_safety_homiciderate,raw_worklifebalance_employeesworkingverylonghours,raw_worklifebalance_timedevotedtoleisureandpersonalcare,est_housing_dwellingswithoutbasicfacilities,est_housing_housingexpenditure,est_housing_roomsperperson,est_income_householdnetadjusteddisposableincome,est_income_householdnetfinancialwealth,est_jobs_employmentrate,est_jobs_jobsecurity,est_jobs_longtermunemploymentrate,est_jobs_personalearnings,est_community_qualityofsupportnetwork,est_education_educationalattainment,est_education_studentskills,est_education_yearsineducation,est_environment_airpollution,est_environment_waterquality,est_civicengagement_consultationonrulemaking,est_civicengagement_voterturnout,est_health_lifeexpectancy,est_health_selfreportedhealth,est_lifesatisfaction_lifesatisfaction,est_safety_assaultrate,est_safety_homiciderate,est_worklifebalance_employeesworkingverylonghours,est_worklifebalance_timedevotedtoleisureandpersonalcare,ind_housing_dwellingswithoutbasicfacilities,ind_housing_housingexpenditure,ind_housing_roomsperperson,ind_income_householdnetadjusteddisposableincome,ind_income_householdnetfinancialwealth,ind_jobs_employmentrate,ind_jobs_jobsecurity,ind_jobs_longtermunemploymentrate,ind_jobs_personalearnings,ind_community_qualityofsupportnetwork,ind_education_educationalattainment,ind_education_studentskills,ind_education_yearsineducation,ind_environment_airpollution,ind_environment_waterquality,ind_civicengagement_consultationonrulemaking,ind_civicengagement_voterturnout,ind_health_lifeexpectancy,ind_health_selfreportedhealth,ind_lifesatisfaction_lifesatisfaction,ind_safety_assaultrate,ind_safety_homiciderate,ind_worklifebalance_employeesworkingverylonghours,ind_worklifebalance_timedevotedtoleisureandpersonalcare,dim_housing,dim_income,dim_jobs,dim_community,dim_education,dim_environment,dim_civicengagement,dim_health,dim_lifesatisfaction,dim_safety,dim_worklifebalance,bli,rank_housing,rank_income,rank_jobs,rank_community,rank_education,rank_environment,rank_civicengagement,rank_health,rank_lifesatisfaction,rank_safety,rank_worklifebalance,rank_bli,weight_int_housing,weight_int_income,weight_int_jobs,weight_int_community,weight_int_education,weight_int_environment,weight_int_civicengagement,weight_int_health,weight_int_lifesatisfaction,weight_int_safety,weight_int_worklifebalance,bestranks_int,distance_int,weight_cont_housing,weight_cont_income,weight_cont_jobs,weight_cont_community,weight_cont_education,weight_cont_environment,weight_cont_civicengagement,weight_cont_health,weight_cont_lifesatisfaction,weight_cont_safety,weight_cont_worklifebalance,bestranks_cont,distance_cont
Norway,578,0.3,18,2,31459,6905,75,7.9,0.38,43990,93,81,500,17.9,15,96,8.1,76,81.4,73,7.7,3.3,0.6,2.83,15.56,,,,,,,,,,,,,,,,,,,,,,,,,0.976377952755906,0.5625,0.647058823529412,0.764472926267281,0.00948599362148705,0.870967741935484,0.848341232227488,0.958797327394209,0.765286659934927,0.8,0.819672131147541,0.697183098591549,0.638297872340425,0.863636363636364,0.979166666666667,0.642105263157895,0.630434782608696,0.892307692307693,0.716666666666667,0.967741935483871,0.830508474576271,0.987179487179487,0.941918642592995,0.884526558891455,0.728645592095106,0.386979459944384,0.860848240373027,0.8,0.718384367359838,0.921401515151515,0.636270022883295,0.80448717948718,0.967741935483871,0.908843980877879,0.913222600742225,0.786074990399847,5,16,2,10,17,3,10,13,2,12,3,3,3,0,4,0,0,3,0,0,0,0,2,1,0.668258334233579,3,0,3,0,0,2,0,0,0,0,2,1,0.694070040868396
Poland,616,4,24,1,15371,9222,60,8.1,3.05,19806,91,89,501,18.2,34,79,10.8,55,76.9,57,5.9,1.8,1.1,7.24,14.2,,,,,,,,,,,,,,,,,,,,,,,,,0.68503937007874,0.1875,0.0588235294117647,0.185267857142857,0.0305387208446532,0.387096774193548,0.838862559241706,0.661469933184855,0.222618646920229,0.72,0.950819672131147,0.704225352112676,0.702127659574468,0.431818181818182,0.625,0.926315789473684,0.173913043478261,0.546153846153847,0.45,0.387096774193548,0.957627118644068,0.965811965811966,0.845986512943224,0.570438799076212,0.310454299830168,0.107903288993755,0.527511978385085,0.72,0.78572422793943,0.528409090909091,0.550114416475973,0.498076923076923,0.387096774193548,0.961719542228017,0.708212656009718,0.553202108912883,35,30,26,19,5,31,18,28,28,3,27,25,0,0,0,0,0,0,0,0,0,5,1,2,0.0192450016686066,0,0,0,0,1,0,0,0,0,8,1,2,0.100985569692314
Portugal,620,1.2,17,1.6,19366,28408,64,8.7,6.14,24384,85,32,490,18,20,86,6.5,58,80.8,49,5,5.8,1.2,8.5,14.71,,,,,,,,,,,,,,,,,,,,,,,,(E),0.905511811023622,0.625,0.411764705882353,0.329097062211982,0.204866569141445,0.516129032258065,0.81042654028436,0.317371937639198,0.325345001682935,0.48,0.0163934426229508,0.626760563380282,0.659574468085106,0.75,0.770833333333333,0.473684210526316,0.239130434782609,0.846153846153846,0.316666666666667,0.0967741935483871,0.61864406779661,0.961538461538462,0.818577333043289,0.688221709006929,0.647425505635325,0.266981815676713,0.492318127966139,0.48,0.434242824696113,0.760416666666667,0.356407322654462,0.581410256410256,0.0967741935483871,0.790091264667536,0.753399521025109,0.514497045358792,9,23,27,31,32,20,32,24,35,28,19,28,1,0,0,0,0,0,0,0,0,0,0,9,0.23998001158504,9,0,0,0,0,1,0,0,0,0,0,8,0.0656362536684361
Slovak Republic,703,1.4,25,1.2,16682,7798,59,5,8.65,19335,89,91,488,16.4,12,81,6.6,59,76.1,62,5.9,3,1.5,6.38,14.78,,,,,,,,,,,,,,,,,,,,,,,,(E),0.889763779527559,0.125,0.176470588235294,0.232466877880184,0.0175999709241575,0.354838709677419,0.985781990521327,0.0378619153674833,0.212049814877146,0.64,0.983606557377049,0.612676056338028,0.319148936170212,0.931818181818182,0.666666666666667,0.484210526315789,0.260869565217391,0.484615384615384,0.533333333333333,0.387096774193548,0.85593220338983,0.948717948717949,0.864694365890798,0.704387990762125,0.397078122587618,0.125033424402171,0.397633107610844,0.64,0.638477183295097,0.799242424242424,0.37254004576659,0.508974358974359,0.387096774193548,0.90232507605389,0.784541178326462,0.541176517768455,29,29,33,24,22,14,30,27,28,13,16,26,0,0,0,0,0,1,0,0,0,5,2,10,0.00887625376978932,0,0,0,0,0,1,0,0,0,6,3,9,0.0103827843680969
Slovenia,705,0.5,20,1.4,19119,18065,64,7.7,3.61,32480,92,83,499,18.4,26,87,10.3,66,80.1,60,6.1,3.9,0.7,5.55,14.62,,,,,,,,,,,,,,,,,,,,,,,,,0.960629921259842,0.4375,0.294117647058823,0.320204493087558,0.1108879944029,0.516129032258065,0.85781990521327,0.599109131403118,0.507012229327948,0.76,0.852459016393443,0.690140845070423,0.744680851063829,0.613636363636364,0.791666666666667,0.873684210526316,0.41304347826087,0.792307692307692,0.5,0.451612903225806,0.779661016949153,0.982905982905983,0.882749619316946,0.66743648960739,0.564082522772889,0.215546243745229,0.6200175745506,0.76,0.762426904175898,0.702651515151515,0.643363844393593,0.646153846153846,0.451612903225806,0.881283499927568,0.775093054462168,0.638384718959919,22,26,19,14,7,23,9,23,25,17,18,19,0,0,0,1,5,0,5,0,0,0,1,6,0.0646291683489715,0,0,0,0,6,0,2,0,0,0,2,5,0.0106995137262973
Spain,724,0,20,1.8,22847,21636,58,10.9,8.99,34769,93,53,484,17.3,25,79,7.3,69,82.4,75,6.3,4.2,0.8,6.34,15.85,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4375,0.529411764705882,0.454421082949309,0.143334817412795,0.32258064516129,0.706161137440758,0,0.558375406709301,0.8,0.360655737704918,0.584507042253521,0.51063829787234,0.636363636363636,0.625,0.557894736842105,0.478260869565217,0.96923076923077,0.75,0.516129032258065,0.754237288135593,0.978632478632479,0.865564498586034,0.951501154734411,0.655637254901961,0.298877950181052,0.396779297327837,0.8,0.485267025943593,0.630681818181818,0.518077803203661,0.859615384615385,0.516129032258065,0.866434883384036,0.908532826660223,0.630548479696148,8,22,34,10,29,27,22,8,23,22,5,20,0,0,0,0,0,0,0,5,0,2,4,1,0.0751418181818182,0,0,0,0,0,0,0,5,0,2,4,1,0.0823039373147459
Sweden,752,0,21,1.7,26242,44889,74,13.9,1.29,37094,92,87,496,19.2,10,95,10.9,85,81.9,80,7.6,5.1,1,1.23,15.11,,,,,,,,,,,,,,,,,,,,,,,,,1,0.375,0.470588235294118,0.576648905529954,0.354616244309767,0.838709677419355,0.563981042654028,0.857461024498886,0.610546392909234,0.76,0.918032786885246,0.669014084507042,0.914893617021276,0.977272727272727,0.958333333333333,0.936842105263158,0.826086956521739,0.930769230769231,0.833333333333333,0.935483870967742,0.677966101694915,0.97008547008547,0.976723950402436,0.780600461893765,0.615196078431373,0.46563257491986,0.717674534370376,0.76,0.833980162804521,0.96780303030303,0.881464530892448,0.882051282051282,0.935483870967742,0.824025785890193,0.8786622061481,0.796543096070812,13,13,14,14,3,1,2,6,3,27,6,1,0,0,0,0,3,4,3,0,4,0,1,1,0.736028666666667,0,0,0,0,2,6,1,0,0,0,1,1,0.762155159582712
Switzerland,756,0.1,23,1.8,30060,99209,79,8.4,1.57,50323,94,86,517,17.2,22,95,8.4,49,82.8,81,7.8,4.2,0.7,5.87,14.78,,,,,,,,,,,,,,,,,,,,,,,,(E),0.992125984251969,0.25,0.529411764705882,0.714105702764977,0.848178671052273,1,0.824644549763033,0.826280623608018,0.907393694603388,0.84,0.901639344262295,0.816901408450704,0.489361702127659,0.704545454545455,0.958333333333333,0.673684210526316,0.0434782608695652,1,0.85,1,0.754237288135593,0.982905982905983,0.875788557755058,0.704387990762125,0.59051258298595,0.781142186908625,0.88957971699361,0.84,0.735967484946886,0.831439393939394,0.35858123569794,0.925,1,0.868571635520788,0.790088274258591,0.78280750102289,18,2,1,4,16,12,31,3,1,21,15,5,0,1,0,0,0,0,0,0,3,0,0,1,1.2273425026228,0,3,0,0,0,0,0,0,7,0,0,1,1.2968045410859
Turkey,792,12.7,21,0.9,13044,10524,48,25.8,2.59,19032,73,31,455,15.2,37,61,5.5,88,74.6,67,5.3,5.1,3.3,46.13,11.73,,(E),,(E),(E),,,,,,,,,,,,,,,,,,,(E),0,0.375,0,0.101490495391705,0.0423689542691514,0,0,0.712694877505568,0.205250757320767,0,0,0.380281690140845,0.0638297872340423,0.363636363636364,0.25,0.368421052631579,0.891304347826087,0.369230769230769,0.616666666666667,0.193548387096774,0.677966101694915,0.871794871794872,0,0,0.125,0.0719297248304283,0.229486408706584,0,0.148037159124962,0.306818181818182,0.629862700228833,0.492948717948718,0.193548387096774,0.774880486744894,0,0.270228342409034,36,32,36,36,35,35,11,30,33,29,36,36,0,0,0,0,0,0,1,0,0,0,0,11,0.114420010011442,0,0,0,0,0,0,10,0,0,0,0,11,0.11442
United Kingdom,826,0.1,22,1.8,26904,62965,70,6.8,2.62,44743,95,75,500,16.6,13,97,11.5,66,81.1,77,6.8,1.9,1.2,12.06,14.83,,,,,,,,,,,,,,,,,,,,,,,,,0.992125984251969,0.3125,0.529411764705882,0.600482430875576,0.518858409733138,0.709677419354839,0.900473933649289,0.709354120267261,0.78218332772355,0.88,0.721311475409836,0.697183098591549,0.361702127659575,0.909090909090909,1,1,0.41304347826087,0.869230769230769,0.783333333333333,0.67741935483871,0.949152542372881,0.961538461538462,0.741135523167283,0.715935334872979,0.611345916319284,0.559670420304357,0.775422200248735,0.88,0.593398900553653,0.954545454545455,0.706521739130435,0.826282051282051,0.67741935483871,0.955345501955671,0.728535429020131,0.751680633472589,14,7,7,3,26,2,6,11,18,4,22,9,0,1,0,0,0,4,0,0,0,3,0,1,0.479415001582076,0,1,0,0,0,5,0,0,0,3,0,1,0.518845219026602
United States,840,0,19,2.3,38001,115918,67,11.4,2.8,54450,90,89,496,17.1,18,87,8.3,70,78.7,90,7,1.5,4.8,11.13,14.27,,,(E),,,,,,,,,,,,,,,,,,,,,,1,0.5,0.823529411764706,1,1,0.612903225806452,0.682464454976303,0.689309576837416,1,0.68,0.950819672131147,0.669014084507042,0.468085106382979,0.795454545454545,0.791666666666667,0.663157894736842,0.5,0.684615384615385,1,0.741935483870968,0.983050847457627,0.807692307692308,0.761366108331521,0.586605080831409,0.774509803921569,1,0.746169314405043,0.68,0.69597295434039,0.793560606060606,0.581578947368421,0.842307692307693,0.741935483870968,0.895371577574967,0.673985594581465,0.765944724948284,1,1,12,21,19,16,16,10,14,15,28,6,0,2,0,0,0,0,0,0,0,0,0,1,2.18858,0,9,0,0,0,0,1,0,0,0,0,1,2.19387942827566
Brazil,76,6.7,21,1.4,10225,5861,68,14,3.02,10905,88,41,401,16.3,19,75,4,78,73.5,69,6.7,7.9,21,12.5,14.84,,(E),(E),(E),(E),,,(E),(E),,,,,,,,,,(E),,,,,(E),0.47244094488189,0.375,0.294117647058823,0,0,0.645161290322581,0.559241706161137,0.664810690423163,0.0228879165264221,0.6,0.163934426229508,0,0.297872340425532,0.772727272727273,0.541666666666667,0.210526315789474,0.673913043478261,0.284615384615385,0.65,0.645161290322581,0.440677966101695,0.115384615384615,0.731564063519687,0.71824480369515,0.380519530646904,0,0.473025400858326,0.6,0.153935588885013,0.65719696969697,0.442219679633867,0.467307692307692,0.645161290322581,0.278031290743155,0.724904433607419,0.438391079700175,31,36,29,27,34,26,25,33,19,35,23,33,0,0,0,0,0,0,2,0,3,0,0,18,0.0944240040559894,0,0,0,0,0,0,4,0,6,0,0,18,0.153103931604193
Russian Federation,643,2.8,11,0.9,15286,15142,68,10.5,2.17,19719,87,91,469,16.6,16,49,2.5,65,69.8,37,5.6,2.8,10.2,0.16,14.84,(E),,,,(E),,(E),,(E),,,,,,,(E),,,,,,,,(E),0.779527559055118,1,0,0.182207661290323,0.0843290295028939,0.645161290322581,0.725118483412322,0.759465478841871,0.220666442275328,0.56,0.983606557377049,0.47887323943662,0.361702127659575,0.840909090909091,0,0.0526315789473684,0.391304347826087,0,0.116666666666667,0.290322580645161,0.872881355932203,0.576923076923077,1,0.71824480369515,0.593175853018373,0.133268345396608,0.587602923713025,0.56,0.608060641491081,0.420454545454545,0.221967963386728,0.0583333333333333,0.290322580645161,0.72490221642764,0.859122401847575,0.459746436792188,17,28,22,28,25,34,35,36,31,32,7,32,0,0,0,0,0,0,0,0,0,0,1,7,0.018530010001853,0,0,0,0,0,0,0,0,0,0,10,7,0.0191624867946583
